koi_disposition,koi_prad,koi_dicco_msky,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_fpflag_co,koi_fittype,koi_dikco_msky
1,3.51,0.49,0,0,0,0,4,0.49
2,2.67,0.1,0,0,0,0,4,0.4
0,0.65,19.658,0,0,1,0,4,19.828
2,10.4,0.12,0,0,0,0,4,0.115
1,2.01,5.68,0,0,0,0,4,0.42
2,1.57,0.98,0,0,0,0,4,3.71
1,1.23,4.37,0,0,0,0,4,0.2
1,3.63,0.1,0,0,0,0,4,0.03
1,1.21,0.36,0,0,0,0,4,0.28
1,2.18,0.06,0,0,0,0,4,0.24
1,2.82,0.24,0,0,0,0,4,0.43
0,2.92,6.868,0,0,1,1,4,7.076
1,12.14,0.011,0,0,0,0,4,0.015
0,5.85,3.346,0,0,0,1,4,3.168
1,1.14,0.26,0,0,0,0,4,0.31
1,2.98,0.32,0,0,0,0,4,0.29
1,1.7,0.46,0,0,0,0,4,0.48
1,2.96,0.34,0,0,0,0,4,0.34
0,0.62,8.33,0,0,0,1,4,8.71
0,20.06,0.026,0,1,0,0,4,0.052
0,53.25,0.358,0,1,0,0,4,0.097
0,35.27,4.819,0,1,0,1,4,4.85
0,32.11,0.06,0,1,0,0,4,0.17
1,2.28,0.2,0,0,0,0,4,0.12
2,1.01,0.71,0,0,0,0,4,0.4
1,1.16,0.58,0,0,0,0,4,0.71
1,3.39,0.3,0,0,0,0,4,0.32
1,3.7,0.34,0,0,0,0,4,0.41
2,86.13,3.16,0,0,0,0,1,3.2
1,1.62,0.15,0,0,0,0,4,0.14
1,2.41,0.22,0,0,0,0,4,0.1
1,1.75,0.13,0,0,0,0,4,0.07
1,1.74,1.24,0,0,0,0,4,1.31
0,6.85,5.801,0,1,1,1,4,5.86
1,2.02,0.05,0,0,0,0,4,0.11
0,2.02,12.07,0,1,0,1,4,12.036
0,102.08,0.005,0,1,0,0,4,0.09
0,67.35,0.01,0,1,0,0,4,0.167
0,65.25,9.301,0,1,1,1,4,9.45
1,1.85,0.15,0,0,0,0,4,0.32
0,5.33,4.72,0,1,0,0,4,3.275
1,2.26,0.22,0,0,0,0,4,0.21
0,26.67,0.075,0,1,0,0,4,0.122
0,21.81,5.35,0,0,0,1,4,5.465
0,67.17,2.057,0,1,0,1,4,2.116
0,23.05,2.16,1,0,1,0,4,2.17
2,3.29,0.04,0,0,0,0,4,0.06
1,1.45,0.16,0,0,0,0,4,0.13
2,2.12,9.74,0,0,0,0,4,0.69
0,22.32,7.08,0,1,1,1,4,7.06
0,24.6,1.95,0,1,1,1,4,1.91
0,27.36,0.008,0,1,0,0,4,0.034
0,16.94,0.045,0,1,0,0,4,0.076
2,9.29,3.15,0,0,0,0,4,0.079
0,49.82,0.068,0,1,0,0,4,0.052
0,14.35,9.05,0,1,1,1,4,9.15
1,2.86,0.136,0,0,0,0,4,0.08
1,1.39,0.72,0,0,0,0,4,0.65
2,1.19,0.77,0,0,0,0,4,0.85
1,1.16,0.119,0,0,0,0,4,0.471
1,1.48,0.28,0,0,0,0,4,0.2
0,20.05,0.084,0,1,0,0,4,0.074
